n,operation,trial,ops,total_us,avg_us
1000,insert_front,1,2000,470,0.235
1000,insert_end,1,2000,229,0.1145
1000,insert_rand,1,2000,509,0.2545
1000,remove_front,1,2000,289,0.1445
1000,remove_end,1,2000,212,0.106
1000,remove_rand,1,2000,282,0.141
1000,get_rand,1,20000,287,0.01435
1000,insert_front,2,2000,311,0.1555
1000,insert_end,2,2000,625,0.3125
1000,insert_rand,2,2000,365,0.1825
1000,remove_front,2,2000,189,0.0945
1000,remove_end,2,2000,228,0.114
1000,remove_rand,2,2000,280,0.14
1000,get_rand,2,20000,287,0.01435
1000,insert_front,3,2000,370,0.185
1000,insert_end,3,2000,161,0.0805
1000,insert_rand,3,2000,366,0.183
1000,remove_front,3,2000,192,0.096
1000,remove_end,3,2000,156,0.078
1000,remove_rand,3,2000,455,0.2275
1000,get_rand,3,20000,525,0.02625
1000,insert_front,4,2000,438,0.219
1000,insert_end,4,2000,242,0.121
1000,insert_rand,4,2000,507,0.2535
1000,remove_front,4,2000,223,0.1115
1000,remove_end,4,2000,219,0.1095
1000,remove_rand,4,2000,320,0.16
1000,get_rand,4,20000,287,0.01435
1000,insert_front,5,2000,337,0.1685
1000,insert_end,5,2000,159,0.0795
1000,insert_rand,5,2000,362,0.181
1000,remove_front,5,2000,222,0.111
1000,remove_end,5,2000,159,0.0795
1000,remove_rand,5,2000,355,0.1775
1000,get_rand,5,20000,500,0.025
2000,insert_front,1,2000,419,0.2095
2000,insert_end,1,2000,114,0.057
2000,insert_rand,1,2000,327,0.1635
2000,remove_front,1,2000,280,0.14
2000,remove_end,1,2000,187,0.0935
2000,remove_rand,1,2000,308,0.154
2000,get_rand,1,20000,288,0.0144
2000,insert_front,2,2000,341,0.1705
2000,insert_end,2,2000,209,0.1045
2000,insert_rand,2,2000,585,0.2925
2000,remove_front,2,2000,275,0.1375
2000,remove_end,2,2000,171,0.0855
2000,remove_rand,2,2000,354,0.177
2000,get_rand,2,20000,638,0.0319
2000,insert_front,3,2000,814,0.407
2000,insert_end,3,2000,232,0.116
2000,insert_rand,3,2000,341,0.1705
2000,remove_front,3,2000,657,0.3285
2000,remove_end,3,2000,279,0.1395
2000,remove_rand,3,2000,438,0.219
2000,get_rand,3,20000,495,0.02475
2000,insert_front,4,2000,450,0.225
2000,insert_end,4,2000,248,0.124
2000,insert_rand,4,2000,504,0.252
2000,remove_front,4,2000,340,0.17
2000,remove_end,4,2000,192,0.096
2000,remove_rand,4,2000,296,0.148
2000,get_rand,4,20000,353,0.01765
2000,insert_front,5,2000,348,0.174
2000,insert_end,5,2000,927,0.4635
2000,insert_rand,5,2000,520,0.26
2000,remove_front,5,2000,259,0.1295
2000,remove_end,5,2000,190,0.095
2000,remove_rand,5,2000,296,0.148
2000,get_rand,5,20000,444,0.0222
5000,insert_front,1,2000,462,0.231
5000,insert_end,1,2000,114,0.057
5000,insert_rand,1,2000,336,0.168
5000,remove_front,1,2000,427,0.2135
5000,remove_end,1,2000,249,0.1245
5000,remove_rand,1,2000,391,0.1955
5000,get_rand,1,20000,287,0.01435
5000,insert_front,2,2000,452,0.226
5000,insert_end,2,2000,117,0.0585
5000,insert_rand,2,2000,277,0.1385
5000,remove_front,2,2000,283,0.1415
5000,remove_end,2,2000,260,0.13
5000,remove_rand,2,2000,441,0.2205
5000,get_rand,2,20000,311,0.01555
5000,insert_front,3,2000,527,0.2635
5000,insert_end,3,2000,255,0.1275
5000,insert_rand,3,2000,814,0.407
5000,remove_front,3,2000,663,0.3315
5000,remove_end,3,2000,354,0.177
5000,remove_rand,3,2000,710,0.355
5000,get_rand,3,20000,560,0.028
5000,insert_front,4,2000,587,0.2935
5000,insert_end,4,2000,206,0.103
5000,insert_rand,4,2000,427,0.2135
5000,remove_front,4,2000,514,0.257
5000,remove_end,4,2000,284,0.142
5000,remove_rand,4,2000,500,0.25
5000,get_rand,4,20000,415,0.02075
5000,insert_front,5,2000,534,0.267
5000,insert_end,5,2000,116,0.058
5000,insert_rand,5,2000,280,0.14
5000,remove_front,5,2000,344,0.172
5000,remove_end,5,2000,263,0.1315
5000,remove_rand,5,2000,462,0.231
5000,get_rand,5,20000,343,0.01715
10000,insert_front,1,2000,534,0.267
10000,insert_end,1,2000,148,0.074
10000,insert_rand,1,2000,375,0.1875
10000,remove_front,1,2000,413,0.2065
10000,remove_end,1,2000,344,0.172
10000,remove_rand,1,2000,611,0.3055
10000,get_rand,1,20000,405,0.02025
10000,insert_front,2,2000,502,0.251
10000,insert_end,2,2000,208,0.104
10000,insert_rand,2,2000,287,0.1435
10000,remove_front,2,2000,520,0.26
10000,remove_end,2,2000,438,0.219
10000,remove_rand,2,2000,848,0.424
10000,get_rand,2,20000,683,0.03415
10000,insert_front,3,2000,602,0.301
10000,insert_end,3,2000,205,0.1025
10000,insert_rand,3,2000,281,0.1405
10000,remove_front,3,2000,578,0.289
10000,remove_end,3,2000,361,0.1805
10000,remove_rand,3,2000,742,0.371
10000,get_rand,3,20000,659,0.03295
10000,insert_front,4,2000,588,0.294
10000,insert_end,4,2000,122,0.061
10000,insert_rand,4,2000,398,0.199
10000,remove_front,4,2000,499,0.2495
10000,remove_end,4,2000,410,0.205
10000,remove_rand,4,2000,838,0.419
10000,get_rand,4,20000,342,0.0171
10000,insert_front,5,2000,733,0.3665
10000,insert_end,5,2000,126,0.063
10000,insert_rand,5,2000,384,0.192
10000,remove_front,5,2000,487,0.2435
10000,remove_end,5,2000,339,0.1695
10000,remove_rand,5,2000,721,0.3605
10000,get_rand,5,20000,544,0.0272
20000,insert_front,1,2000,989,0.4945
20000,insert_end,1,2000,110,0.055
20000,insert_rand,1,2000,298,0.149
20000,remove_front,1,2000,714,0.357
20000,remove_end,1,2000,397,0.1985
20000,remove_rand,1,2000,2178,1.089
20000,get_rand,1,20000,1031,0.05155
20000,insert_front,2,2000,935,0.4675
20000,insert_end,2,2000,110,0.055
20000,insert_rand,2,2000,319,0.1595
20000,remove_front,2,2000,635,0.3175
20000,remove_end,2,2000,390,0.195
20000,remove_rand,2,2000,1694,0.847
20000,get_rand,2,20000,586,0.0293
20000,insert_front,3,2000,1010,0.505
20000,insert_end,3,2000,110,0.055
20000,insert_rand,3,2000,301,0.1505
20000,remove_front,3,2000,760,0.38
20000,remove_end,3,2000,373,0.1865
20000,remove_rand,3,2000,1379,0.6895
20000,get_rand,3,20000,425,0.02125
20000,insert_front,4,2000,815,0.4075
20000,insert_end,4,2000,134,0.067
20000,insert_rand,4,2000,368,0.184
20000,remove_front,4,2000,692,0.346
20000,remove_end,4,2000,928,0.464
20000,remove_rand,4,2000,1811,0.9055
20000,get_rand,4,20000,577,0.02885
20000,insert_front,5,2000,741,0.3705
20000,insert_end,5,2000,111,0.0555
20000,insert_rand,5,2000,469,0.2345
20000,remove_front,5,2000,972,0.486
20000,remove_end,5,2000,582,0.291
20000,remove_rand,5,2000,1793,0.8965
20000,get_rand,5,20000,533,0.02665
